,Hour,Weekend,name,Proportion Of Bikes Available,lat,long
1480,17,False,Mechanics Plaza (Market at Battery),0.4242667738047408,37.7913,-122.399051
1481,6,True,Mechanics Plaza (Market at Battery),0.37297570850202416,37.7913,-122.399051
1482,2,False,Mechanics Plaza (Market at Battery),0.34190437926878264,37.7913,-122.399051
1483,7,False,Mechanics Plaza (Market at Battery),0.3417034953796703,37.7913,-122.399051
1484,12,True,Mechanics Plaza (Market at Battery),0.3623481781376518,37.7913,-122.399051
1485,8,False,Mechanics Plaza (Market at Battery),0.37542525515309194,37.7913,-122.399051
1486,15,True,Mechanics Plaza (Market at Battery),0.3372508942258558,37.7913,-122.399051
1487,15,False,Mechanics Plaza (Market at Battery),0.5305183109865919,37.7913,-122.399051
1488,8,True,Mechanics Plaza (Market at Battery),0.3749999999999999,37.7913,-122.399051
1489,23,False,Mechanics Plaza (Market at Battery),0.3376858175974287,37.7913,-122.399051
1490,11,False,Mechanics Plaza (Market at Battery),0.5478103656086781,37.7913,-122.399051
1491,14,False,Mechanics Plaza (Market at Battery),0.5265159095457275,37.7913,-122.399051
1492,12,False,Mechanics Plaza (Market at Battery),0.523514108465079,37.7913,-122.399051
1493,21,False,Mechanics Plaza (Market at Battery),0.3398955403776618,37.7913,-122.399051
1494,9,False,Mechanics Plaza (Market at Battery),0.467680608365019,37.7913,-122.399051
